Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist,Return,Roll_Return_20,Roll_Vol_20,Regime,Regime_Bear,Regime_Bull,Regime_Sideways
2015-01-16,33786.44,33771.5,33954.88,33724.65,215170000.0,0.06,78.19437420057973,33162.1231396356,32588.90258502207,573.2205546135301,466.968565269453,106.25198934407712,0.000616899857577069,0.004603957438016865,0.004767957250263227,Bull,False,True,False
2015-01-19,34014.26,33790.56,34120.92,33790.56,174970000.0,0.67,80.24279298761427,33293.221118153204,32694.48461576118,598.7365023920247,493.3221526939674,105.41434969805732,0.006742941842940553,0.004643155786430625,0.0047828826492142176,Bull,False,True,False
2015-01-20,34121.3,34046.63,34185.48,33893.17,194950000.0,0.31,81.1392866942189,33420.61786920656,32800.17464422331,620.4432249832462,518.7463671518232,101.69685783142302,0.0031469154407592903,0.004025828577943852,0.004049243897826947,Bull,False,True,False
2015-01-21,34329.5,34133.62,34395.19,34133.62,241030000.0,0.61,82.77635248035668,33560.44588932863,32913.45800391048,646.9878854181516,544.3946708050889,102.59321461306264,0.006101760483920415,0.0039200771470721376,0.00396068058083404,Bull,False,True,False
2015-01-22,34146.97,34342.29,34414.81,34101.44,212300000.0,-0.53,76.50667022969273,33650.68036789345,33004.82926288007,645.851105013382,564.6859576467476,81.16514736663441,-0.005317001412779021,0.0032611136711763133,0.004347721218755003,Bull,False,True,False
2015-01-23,34026.59,34149.1,34194.93,33978.3,138100000.0,-0.35,72.60107641604537,33708.512618986766,33080.51524340747,627.9973755792962,577.3482412332573,50.64913434603886,-0.0035253493941045377,0.0030957836980531174,0.004545390182812693,Bull,False,True,False
2015-01-26,34466.53,34058.45,34589.28,34058.45,249090000.0,1.29,77.1849531745019,33825.13067760419,33183.18300315506,641.9476744491258,590.2681278764311,51.67954657269468,0.012929300291331103,0.003877075038745281,0.004831310893723344,Bull,False,True,False
2015-01-27,34538.45,34530.36,34626.87,34383.74,255710000.0,0.21,77.83771519041144,33934.87211181893,33283.573151069504,651.2989607494237,602.4742944510297,48.82466629839405,0.0020866620457584695,0.003907505260325239,0.004817301648054743,Bull,False,True,False
2015-01-28,34386.86,34535.31,34621.54,34353.78,162990000.0,-0.44,73.09089944368554,34004.40871000063,33365.298102842135,639.1106071584945,609.8015569925226,29.30905016597194,-0.004389021510808888,0.003410498080522095,0.0051407150109898285,Bull,False,True,False
2015-01-29,34408.73,34398.41,34502.19,34368.25,147270000.0,0.06,73.3434677545395,34066.61198538515,33442.58935448346,624.0226309016871,612.6457717743556,11.3768591273315,0.0006359987506856513,0.0028626136730816377,0.004794963292028319,Bull,False,True,False
