Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2025-06-18,120465.93,121857.97,121905.5,120418.0,122210000.0,-1.23,52.33573407970837,121370.31126820773,119885.47406926683,1484.837198940906,1580.7683074041706,-95.93110846326454
2025-06-19,120002.59,121103.35,121745.3,119770.03,134100000.0,-0.38,50.69821349661297,121159.89261156038,119894.1493233952,1265.7432881651766,1517.763303556372,-252.02001539119533
2025-06-20,120023.24,120234.96,120828.86,119872.16,136800000.0,0.02,50.772140711175,120985.02297901263,119903.7115957363,1081.3113832763338,1430.4729195003645,-349.16153622403067
2025-06-23,116167.47,118272.0,118798.52,115887.49,196190000.0,-3.21,39.00985405531533,120243.86098224146,119626.95295901509,616.9080232263659,1267.7599402455648,-650.8519170191989
2025-06-24,122246.64,120499.53,122725.21,120369.54,318300000.0,5.23,56.22783331551738,120551.9808311274,119821.0038509399,730.9769801874936,1160.4033482339507,-429.4263680464571
2025-06-25,122761.64,122753.01,123256.55,122168.76,221150000.0,0.42,57.32690069530949,120891.92839556934,120038.82875087028,853.0996446990612,1098.942607526973,-245.84296282791183
2025-06-26,122046.46,123031.82,123417.87,122142.43,244240000.0,-0.58,55.25213916807336,121069.54864240483,120187.54217673173,882.0064656730974,1055.555379156198,-173.54891348310048
2025-06-27,124379.07,122229.42,125285.05,122222.7,220310000.0,1.91,60.299013359988926,121578.70577434255,120498.02571919606,1080.6800551464985,1060.580314354258,20.099740792240482
2025-06-30,125627.31,124884.07,125748.59,124500.21,258990000.0,1.0,62.72196034536218,122201.56796290523,120877.97270295932,1323.5952599459124,1113.183303472589,210.41195647332347
2025-07-01,128199.43,126114.17,128475.7,126113.28,336910000.0,2.05,67.16840064443602,123124.31596861212,121420.30287311049,1704.0130955016357,1231.3492618783982,472.66383362323745
2025-07-02,130344.03,128616.12,130545.95,128616.12,345790000.0,1.67,70.34456823374225,124235.04120421025,122081.31969732452,2153.721506885733,1415.8237108798653,737.8977960058678
2025-07-03,130686.66,130831.28,131325.11,129776.2,280010000.0,0.26,70.83009167485115,125227.59794202406,122718.75231233751,2508.845629686548,1634.4280946412018,874.4175350453461
2025-07-04,131949.06,130896.03,132129.59,130716.11,198950000.0,0.97,72.60944835466204,126261.6690278665,123402.47880771992,2859.1902201465855,1879.3805197422785,979.809700404307
2025-07-07,133370.16,132485.75,133862.02,132467.13,344250000.0,1.08,74.49551422955568,127355.28302357935,124140.82556270363,3214.457460875725,2146.3959079689675,1068.0615529067572
2025-07-08,133403.19,133746.63,134200.27,132696.36,324460000.0,0.02,74.53939693373067,128285.730250721,124826.92663213299,3458.8036185880046,2408.877450092775,1049.9261684952298
2025-07-09,132576.98,133524.94,133566.38,132326.19,161030000.0,-0.62,71.23758338168896,128945.92251984085,125401.0046593824,3544.9178604584595,2636.085532165912,908.8323282925476
2025-07-10,133782.34,132773.88,133902.34,132706.03,325790000.0,0.91,73.10905702122483,129689.98674755765,126021.84431424296,3668.142433314686,2842.4969123956666,825.6455209190194
2025-07-11,134299.77,134130.91,134931.95,134130.41,290060000.0,0.39,73.89431603610264,130399.18417101032,126635.0239946694,3764.1601763409126,3026.829565184716,737.3306111561965
2025-07-14,136502.55,134937.44,136841.5,134937.44,259910000.00000003,1.64,76.976649536927,131338.16352931643,127365.95184691613,3972.2116824003024,3215.9059886278333,756.3056937724691
2025-07-15,135939.88,136840.16,137747.61,135826.41,307740000.0,-0.41,74.55512230998936,132046.1199094216,128001.05763603344,4045.062273388161,3381.737245579899,663.3250278082619
